time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0,-1.82,0.91,-1.33,56.0,6.0,995.0,-0.39000002,-0.1395,-0.384
0.076923136,-1.82,0.91,-1.33,61.0,4.0,997.0,-0.3876923105353728,-0.14065384704,-0.38169230592000003
0.15384614400000002,-1.82,0.91,-1.26,57.0,3.0,998.0,-0.387,-0.141,-0.37938461568
0.23076928000000002,-1.75,0.91,-1.33,56.0,7.0,995.0,-0.3860769216,-0.14146153919999999,-0.3789230784
0.30769228800000004,-1.82,0.91,-1.26,57.0,3.0,998.0,-0.38376923136,-0.1425,-0.381
0.38461542400000004,-1.89,0.91,-1.26,58.0,3.0,997.0,-0.38146153728,-0.1425,-0.381
0.46153843200000005,-1.82,0.91,-1.33,57.0,3.0,996.0,-0.38192307648,-0.1378846176,-0.38192307648
0.538461568,-1.82,0.91,-1.33,58.0,-4.0,1013.0,-0.38365384704,-0.13615384704,-0.38423077056
0.6153845760000001,-1.82,0.91,-1.33,60.0,4.0,993.0,-0.38388461952,-0.13776923136000002,-0.38723076864
0.6923077120000001,-1.82,0.91,-1.33,60.0,4.0,997.0,-0.37580769024,-0.13661538432,-0.38838461568
0.76923072,-1.82,0.91,-1.33,55.0,4.0,999.0,-0.375,-0.1365,-0.38746153920000004
0.846153856,-1.75,0.91,-1.33,59.0,2.0,1001.0,-0.37984615488,-0.13788461568000002,-0.38630769216
0.9230768640000001,-1.82,0.91,-1.33,59.0,6.0,997.0,-0.38515384704,-0.1360384704,-0.38584615296
1.0,-1.82,0.91,-1.33,59.0,4.0,994.0,-0.384,-0.1245,-0.387
1.076923136,-1.82,0.91,-1.33,57.0,7.0,996.0,-0.384,-0.12796154881231359,-0.38815384704
1.153846144,-1.75,0.91,-1.33,58.0,3.9999999999999996,996.0,-0.38480769216,-0.1346538497353856,-0.38688461568
1.23076928,-1.82,0.91,-1.33,55.0,4.0,997.0,-0.386884623753856,-0.1390384608,-0.3855
1.3076922880000001,-1.82,0.91,-1.33,58.0,0.9999999999999996,995.0,-0.39000002,-0.138,-0.38538461568
1.3846154240000002,-1.82,0.91,-1.33,59.0,4.0,997.0,-0.39000002,-0.138,-0.38423076864
1.461538432,-1.82,0.91,-1.33,57.0,0.0,1014.0,-0.3872307782523136,-0.13984615296,-0.384
1.538461568,-1.82,0.91,-1.33,59.0,6.0,996.0,-0.38434615296,-0.141,-0.3863077017723136
1.615384576,-1.75,0.84000003,-1.33,57.0,2.9999999999999996,994.0,-0.38319230592000003,-0.14076923136,-0.3902307855630848
1.692307712,-1.82,0.91,-1.33,59.0,6.0,995.0,-0.38665384704,-0.13961538432,-0.39138461721845763
1.7692307200000001,-1.82,0.91,-1.33,58.0,2.9999999999999996,991.0,-0.3859615392,-0.1405384608,-0.3883846176
1.8461538560000001,-1.82,0.91,-1.33,56.0,7.0,993.0,-0.38411538432000003,-0.141,-0.38492307648
1.9230768640000002,-1.82,0.91,-1.33,56.0,2.0,992.0,-0.38353845888,-0.14030769408,-0.38215384704
2.0,-1.82,0.84000003,-1.33,58.0,5.0,994.0,-0.387,-0.138,-0.381
2.076923136,-1.82,0.91,-1.33,58.0,4.0,992.0,-0.38815384704,-0.13684615296000002,-0.38215384704
2.153846144,-1.82,0.91,-1.33,58.0,6.0,991.0,-0.38769230784000003,-0.13892307648,-0.38411538432000003
2.23076928,-1.82,0.91,-1.33,59.0,4.0,990.0,-0.38653846080000004,-0.14146153919999999,-0.3859615392
2.307692288,-1.82,0.91,-1.33,57.0,2.0,992.0,-0.38561538432000003,-0.14273076863999998,-0.38688461568
2.384615424,-1.82,0.91,-1.26,59.0,2.0,992.0,-0.38676923136,-0.14503846271999998,-0.38573076864
2.461538432,-1.82,0.91,-1.33,57.0,2.0,992.0,-0.3823846176,-0.14734615296,-0.38457692352
2.5384615680000002,-1.82,0.91,-1.33,60.0,1.0,991.0,-0.37430768832,-0.13984614719999997,-0.38457692352
2.6153845760000003,-1.82,0.91,-1.33,58.0,1.0,992.0,-0.36738461184,-0.126,-0.38526923136
2.6923077120000003,-1.82,0.91,-1.33,58.0,5.0,998.0,-0.37430769408000003,-0.126,-0.38411538432000003
2.7692307200000004,-1.82,0.91,-1.33,58.0,10.0,989.0,-0.3812307648,-0.13742306880000002,-0.38503846080000004
2.8461538560000004,-1.82,0.91,-1.33,54.0,4.0,989.0,-0.37984615296,-0.14111538432,-0.3855
2.923076864,-1.82,0.91,-1.33,56.0,5.0,992.0,-0.37638461184,-0.14053845888,-0.38480769408000004
3.0,-1.82,0.91,-1.33,56.0,5.0,993.0,-0.381,-0.144,-0.3825
3.076923136,-1.82,0.91,-1.33,54.0,6.0,988.0,-0.3867692352,-0.144,-0.38365384704
3.153846144,-1.82,0.91,-1.33,55.0,6.0,993.0,-0.38446153920000004,-0.13915384704,-0.38480769216
3.23076928,-1.82,0.91,-1.33,57.0,2.0,991.0,-0.381,-0.1354615392,-0.3855
3.307692288,-1.82,0.91,-1.33,59.0,4.0,988.0,-0.381,-0.13673076864,-0.38573076864
3.384615424,-1.82,0.91,-1.33,57.0,4.0,989.0,-0.381,-0.13903846272,-0.38803846272000003
3.461538432,-1.82,0.91,-1.33,55.0,4.0,988.0,-0.38192307648,-0.13765384704,-0.3885
3.5384615680000002,-1.82,0.84000003,-1.26,59.0,3.0,991.0,-0.3825,-0.13707692352,-0.38619230592
3.6153845760000003,-1.82,0.91,-1.33,57.0,3.0,991.0,-0.38226923136,-0.13846153728000002,-0.38273076864
3.6923077120000003,-1.82,0.91,-1.33,59.0,4.0,991.0,-0.38111538432000003,-0.14076923136,-0.38388461568
3.7692307200000004,-1.82,0.91,-1.33,59.0,2.0,990.0,-0.3851538432,-0.141,-0.3860769216
3.8461538560000004,-1.82,0.91,-1.33,57.0,4.0,992.0,-0.3883846249107712,-0.13961538432,-0.38630769216
3.9230768640000004,-1.82,0.91,-1.33,57.0,4.0,991.0,-0.3896538624246272,-0.13834615296000002,-0.38584615296
4.0,-1.82,0.91,-1.33,59.0,5.0,990.0,-0.3885,-0.1395,-0.387
4.0769231360000004,-1.82,0.84000003,-1.33,58.0,4.0,1011.0,-0.38388461184,-0.1395,-0.38584615296
4.153846144,-1.82,0.91,-1.33,61.0,7.0,995.0,-0.38330769216,-0.14030769216,-0.38711538432
4.2307692800000005,-1.82,0.91,-1.33,57.0,7.0,989.0,-0.3812307648,-0.13684614719999996,-0.3885
4.307692288,-1.82,0.91,-1.33,56.0,5.0,992.0,-0.37523076864,-0.12738461568,-0.38815384704000006
4.384615424000001,-1.82,0.84000003,-1.26,58.0,6.0,987.0,-0.37753846272,-0.12623076864,-0.38469230592
4.461538432,-1.82,0.91,-1.33,59.0,3.0,989.0,-0.38353845888,-0.13246153536000002,-0.38215384704
4.538461568000001,-1.82,0.91,-1.33,56.0,4.0,992.0,-0.38642307648,-0.13765384704000003,-0.38330769408000004
4.615384576,-1.82,0.84000003,-1.33,59.0,4.0,991.0,-0.3861923089969152,-0.14042307456,-0.38723076864
4.692307712,-1.82,0.91,-1.33,58.0,4.0,991.0,-0.3896538655015424,-0.14503846271999998,-0.38838461568
4.76923072,-1.82,0.91,-1.33,57.0,3.0,988.0,-0.386884623753856,-0.1444615392,-0.38746153920000004
4.846153856,-1.82,0.91,-1.33,59.0,2.0,991.0,-0.38411538432000003,-0.144,-0.38492307648
4.923076864,-1.82,0.84000003,-1.33,58.0,4.0,991.0,-0.38319230592000003,-0.14365384703999998,-0.38215384704
5.0,-1.82,0.91,-1.33,58.0,3.0,991.0,-0.3855,-0.1425,-0.381
5.0769231360000004,-1.82,0.91,-1.33,58.0,4.0,992.0,-0.38665384704,-0.14134615296,-0.38446154112
5.153846144,-1.82,0.91,-1.33,56.0,3.0,988.0,-0.38780769216,-0.14180769215999997,-0.3855
5.2307692800000005,-1.82,0.91,-1.33,55.0,3.0,991.0,-0.3875769216,-0.1415769216,-0.38596153920000004
5.307692288,-1.82,0.84000003,-1.33,60.0,4.0,990.0,-0.38526923136,-0.13892307840000007,-0.38665384704000005
5.384615424000001,-1.82,0.84000003,-1.33,59.0,3.0,992.0,-0.38296153728,-0.13315384319999998,-0.38319230592
5.461538432,-1.82,0.84000003,-1.33,58.0,3.0,988.0,-0.38526922944,-0.13107692352,-0.38065384704
5.538461568000001,-1.82,0.84000003,-1.26,58.0,3.0,994.0,-0.38642307648,-0.13280769408000004,-0.3795
5.615384576,-1.82,0.91,-1.33,59.0,5.0,991.0,-0.38526923136,-0.13696153728000002,-0.37973076864
5.692307712000001,-1.82,0.91,-1.33,56.0,5.0,993.0,-0.38411538432,-0.13926923136000002,-0.38088461568000004
5.76923072,-1.82,0.91,-1.33,57.0,3.0,990.0,-0.38088461760000003,-0.1363846176,-0.3820384608
5.846153856,-1.82,0.91,-1.33,57.0,4.0,991.0,-0.37880769216,-0.13361538432000003,-0.38319230784
5.923076864,-1.82,0.91,-1.26,57.0,2.0,989.0,-0.37938461184,-0.132,-0.38365384704
6.0,-1.82,0.91,-1.26,57.0,7.0,990.0,-0.384,-0.132,-0.3825
6.0769231360000004,-1.82,0.91,-1.33,57.0,5.0,990.0,-0.38515384704,-0.13546154112,-0.38019230592000003
6.153846144,-1.82,0.91,-1.33,57.0,1.0,991.0,-0.38469230784,-0.14134615295999997,-0.38030769216
6.2307692800000005,-1.82,0.91,-1.26,56.0,6.0,993.0,-0.3830769216,-0.1436538432,-0.3819230784
6.307692288,-1.82,0.91,-1.26,57.0,4.0,992.0,-0.38146153728,-0.13903846272000003,-0.38423076864
6.384615424000001,-1.82,0.91,-1.33,58.0,2.0,989.0,-0.38607692544,-0.13442307456,-0.38653846272000003
6.461538432,-1.82,0.84000003,-1.33,57.0,3.0,990.0,-0.387,-0.13626922944,-0.38607692352
6.538461568000001,-1.82,0.91,-1.33,57.0,2.0,989.0,-0.38584615296,-0.13742307648000002,-0.38434615296
6.615384576,-1.82,0.91,-1.33,59.0,2.0,991.0,-0.38423076864,-0.13742307456,-0.38273076864
6.692307712000001,-1.82,0.91,-1.33,56.0,4.0,992.0,-0.38538461568000004,-0.14203846272000004,-0.38388461568000004
6.76923072,-1.82,0.91,-1.33,56.0,4.0,988.0,-0.38446153920000004,-0.1445769216,-0.3850384608
6.846153856000001,-1.82,0.91,-1.33,59.0,1.0,992.0,-0.38330769216,-0.14065384511999998,-0.38480769216
6.923076864,-1.82,0.91,-1.33,57.0,4.0,991.0,-0.38215384704,-0.135,-0.38330769408
7.0,-1.82,0.91,-1.33,58.0,6.0,990.0,-0.381,-0.135,-0.381
7.0769231360000004,-1.82,0.84000003,-1.33,56.0,5.0,991.0,-0.38330769408,-0.13615384704,-0.37984615296
7.153846144,-1.82,0.91,-1.33,58.0,4.0,989.0,-0.384,-0.13488461568000001,-0.38111538432
7.2307692800000005,-1.82,0.91,-1.33,57.0,3.0,990.0,-0.3812307648,-0.1348846176,-0.3820384608
7.307692288,-1.82,0.91,-1.33,54.0,6.0,989.0,-0.3745384642584576,-0.13765384704000003,-0.38111538432
7.384615424000001,-1.82,0.91,-1.33,58.0,2.0,990.0,-0.3699230914830848,-0.13419230592,-0.38226923136
7.461538432,-1.82,0.91,-1.33,59.0,6.0,991.0,-0.3717692371323136,-0.12888461760000003,-0.38526922943999997
7.538461568000001,-1.82,0.91,-1.33,57.0,6.0,992.0,-0.37811538816,-0.12369230784307841,-0.38757692352
7.615384576,-1.82,0.91,-1.33,59.0,7.0,984.0,-0.38803845504,-0.120000005,-0.38896153728
7.692307712000001,-1.82,0.91,-1.33,58.0,3.0,990.0,-0.4007307724800001,-0.120000005,-0.39126923136
7.76923072,-1.82,0.91,-1.33,59.0,7.0,993.0,-0.41653845119999994,-0.124153844738464,-0.3925384608
7.846153856000001,-1.82,0.91,-1.33,58.0,3.0,989.0,-0.43200000192000004,-0.12461538432,-0.39023076864
7.923076864,-1.82,0.91,-1.33,55.0,3.0,993.0,-0.4476922944,-0.11815385855999996,-0.38665384704
8.0,-1.82,0.91,-1.33,58.0,4.0,991.0,-0.465,-0.102,-0.3855
8.076923136000001,-1.82,0.84000003,-1.33,59.0,6.0,988.0,-0.4892308032246277,-0.08930768255999974,-0.3855
8.153846144000001,-1.82,0.91,-1.33,58.0,4.0,989.0,-0.5102307759507714,-0.07903846271999994,-0.38630769216
8.23076928,-1.82,0.84000003,-1.33,55.0,4.0,992.0,-0.5243076959999999,-0.06980768640000005,-0.38653846080000004
8.307692288,-1.82,0.84000003,-1.26,57.0,2.0,991.0,-0.5297307686399999,-0.0617307689476915,-0.3855
8.384615424,-1.82,0.91,-1.33,58.0,3.0,992.0,-0.53203846272,-0.06403846610461694,-0.3855
8.461538432000001,-1.82,0.91,-1.33,57.0,3.0,991.0,-0.53619230592,-0.064500004,-0.38734615296
8.538461568,-1.82,0.91,-1.33,59.0,3.0,989.0,-0.53907692352,-0.06334615542153728,-0.38619230592
8.615384576,-1.82,0.91,-1.33,60.0,3.0,988.0,-0.5402307732553728,-0.05850000768000021,-0.38273076864
8.692307712,-1.89,1.4,-1.12,57.0,2.0,991.0,-0.5413846433723136,-0.04349999616000025,-0.38388461568
8.769230720000001,-12.11,24.08,12.39,57.0,2.0,988.0,-0.545653852430784,-0.034730774399999956,-0.38503846080000004
8.846153856,9.7300005,-15.89,-15.26,57.0,2.0,991.0,-0.55026923136,-0.03357692352000001,-0.38411538432
8.923076864,-4.97,-4.48,-40.95,58.0,5.0,991.0,-0.5538461529600001,-0.036,-0.38319230592000003
9.0,0.98,-1.47,-24.78,57.0,2.0,997.0,-0.555,-0.036,-0.3855
9.076923136000001,4.27,-3.85,-3.5,58.0,-1.0,995.0,-0.555,-0.036,-0.38665384704
9.153846144000001,9.66,7.4900002,21.0,58.0,5.0,991.0,-0.5533846156800001,-0.038423076479999985,-0.38538461568000004
9.23076928,9.66,5.67,31.85,56.0,2.0,990.0,-0.552,-0.04234615679999997,-0.3844615392
9.307692288,-0.49,2.17,15.75,57.0,1.0,992.0,-0.55234615296,-0.04615384704000002,-0.38538461568000004
9.384615424,0.21000001,4.76,66.29,60.0,4.0,992.0,-0.55580769408,-0.042692305920000034,-0.38423076864
9.461538432000001,-17.57,-8.19,80.5,57.0,5.0,989.0,-0.55557692352,-0.03830769407999994,-0.384
9.538461568,-4.97,5.46,81.55,57.0,6.0,989.0,-0.5526923059200001,-0.03657692352,-0.38515384704
9.615384576,-0.84000003,8.33,85.47,55.0,4.0,991.0,-0.54946153728,-0.037961537279999964,-0.387
9.692307712,-6.16,-0.42000002,111.51,59.0,4.0,991.0,-0.55176923136,-0.04026923135999996,-0.387
9.769230720000001,3.57,-1.82,97.37,57.0,0.0,986.0,-0.5571923040000001,-0.03115385279999994,-0.3859615392
9.846153856,0.49,2.52,86.24,57.0,2.0,990.0,-0.56365384704,-0.019384613759999954,-0.38411538432
9.923076864,2.45,5.04,36.54,56.0,6.0,992.0,-0.57057691776,-0.008423082239999985,-0.38284615296
10.0,4.97,3.3600001,2.66,58.0,6.0,990.0,-0.5775,-0.0014999999999999996,-0.384
10.076923136000001,-6.7200003,8.96,14.84,58.0,2.0,991.0,-0.57980769408,0.00773077632000003,-0.38630769408000004
10.153846144000001,-4.83,8.12,7.4900002,57.0,5.0,992.0,-0.57888461568,0.017769229439999965,-0.38457692352
10.23076928,-3.71,-5.67,13.02,58.0,3.0,993.0,-0.5775,0.024923078399999986,-0.38203846080000003
10.307692288,-3.57,-7.84,52.920002,57.99999949980886,3.999999499808855,990.0000005001912,-0.57773076864,0.02642307840000004,-0.38134615295999996
10.384615424000001,-1.05,2.17,51.66,56.07618591444718,2.0761859144471773,991.9238140855529,-0.58003846272,0.02065384319999992,-0.38480769408000004
10.461538432000001,-0.77,-0.56,15.26,56.92381246588696,4.771437397660888,991.076187534113,-0.57680769408,0.021346152960000028,-0.38642307648
10.538461568,-1.82,0.91,-1.33,58.77144183366413,5.885720916832063,991.0,-0.57565384704,0.02307692352,-0.38642307648
10.615384576,-1.82,0.84000003,-1.33,58.15237346761403,4.304746935228048,991.0,-0.57726923136,0.02353846272000003,-0.38503846272000003
10.692307688000001,-1.82,0.91,-1.33,58.80953326552074,3.190466734479261,991.8095332655207,-0.57611538468,0.02123076935999999,-0.38273076936
10.77227712,-1.82,0.84000003,-1.33,58.19046513861324,3.809534861386756,990.3809302772265,-0.5684109024,0.019915843200000012,-0.3835841568
10.852246528,-1.82,0.84000003,-1.33,55.571394501257274,4.809535166247574,987.5713945012573,-0.56706739584,0.02185109375999999,-0.38478369792
10.932215808,-1.82,0.84000003,-1.33,57.428600696906514,5.0,993.476268525084,-0.5699497113599999,0.024483237120000004,-0.38405028864
11.012185216,-1.82,0.84000003,-1.33,60.42860458416033,3.3809302772264433,988.5237211089058,-0.57336555648,0.024951665279999976,-0.381
11.092154624,-1.82,0.84000003,-1.33,58.57139450125727,4.619070332495157,989.4286054987427,-0.5757646387199999,0.021353041920000024,-0.381
11.172123904000001,-1.82,0.84000003,-1.33,55.571399303093486,5.0,989.1904664343645,-0.57924557568,0.01883628288,-0.38208185856
11.252093312000001,-1.82,0.84000003,-1.26,57.42860458416033,4.190465138613222,989.8095348613867,-0.57893720064,0.018781399680000005,-0.38015580096
11.332062720000001,-1.82,1.6800001,6.79,57.19046483375242,2.3809296675048426,990.8095351662475,-0.5770190592,0.02094282240000004,-0.37896188160000005
11.412032,3.64,7.7,58.66,57.0,3.619067131270967,991.0,-0.5758195199999999,0.023458560000000017,-0.38136095999999997
11.492001408,-5.88,15.4,34.09,57.80953356563548,4.0,991.8095335656354,-0.57461997888,0.019859936639999996,-0.38376004224
11.571970816,-10.15,5.11,49.63,58.80953486138677,3.190465138613226,989.5713954158397,-0.57234087552,0.025977373439999937,-0.38076131328
11.651940096,-5.81,-6.3,56.98,58.190466434364495,4.619067131271011,989.0,-0.5715,0.031616405759999966,-0.37794179712000003
11.731909504,4.97,-2.59,23.8,58.0,2.5713993030934836,989.8095335656355,-0.57197864256,0.031628144640000015,-0.37793592768
11.811878912000001,1.75,-3.64,11.2,40.19023304949088,7.6667440297074485,977.8569770791984,-0.573,0.025321816319999996,-0.38153455104
11.891848320000001,-2.1,0.98,1.12,-58.71561445096671,-63.048629796034504,1030.857926471083,-0.573,0.024122275199999987,-0.38513317440000006
11.971817600000001,-1.82,1.6800001,-1.75,-59.952127293476856,28.47749779515773,1025.3807279903833,-0.5762317920000001,0.024,-0.3855
12.051787008000002,-1.75,0.84000003,-1.4,54.287206287215085,31.333023881170206,989.4281404059157,-0.5775,0.024776805120000012,-0.38316958463999995
12.131756416,-1.75,1.26,-2.59,62.19022634255376,-20.953039642358277,1028.9530396423584,-0.57845269248,0.027881731199999902,-0.38052365376
